               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.057431,            0.025992,            0.014765,                   0,                   0,                   0,                   0,                   0,           0.0043387,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.047273,            0.024512,            0.014905,                   0,                   0,                   0,                   0,                   0,           0.0041397,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.045972,            0.023016,            0.013281,                   0,                   0,                   0,                   0,                   0,           0.0040535,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.051688,            0.021025,            0.012872,                   0,                   0,                   0,                   0,                   0,            0.003525,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.039769,            0.019276,            0.013287,                   0,                   0,                   0,                   0,                   0,            0.003525,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.041873,            0.022471,            0.011219,                   0,                   0,                   0,                   0,                   0,           0.0035349,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.041219,            0.020186,            0.013467,                   0,                   0,                   0,                   0,                   0,           0.0040192,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.051778,            0.022207,            0.013051,                   0,                   0,                   0,                   0,                   0,           0.0039638,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.045323,            0.024254,            0.010976,                   0,                   0,                   0,                   0,                   0,           0.0039638,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.043481,            0.023644,            0.015366,                   0,                   0,                   0,                   0,                   0,            0.004044,                   0,            0.007492,            0.007492,            0.007492
                  78,             0.03418,            0.021514,           0.0097149,                   0,                   0,                   0,                   0,                   0,           0.0041313,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.039471,             0.02009,             0.01469,                   0,                   0,                   0,                   0,                   0,           0.0041237,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.047393,             0.02395,           0.0098066,                   0,                   0,                   0,                   0,                   0,           0.0041237,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.049665,            0.022533,             0.01487,                   0,                   0,                   0,                   0,                   0,           0.0036717,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.042615,            0.020659,            0.016639,                   0,                   0,                   0,                   0,                   0,           0.0038653,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.039176,             0.02231,             0.01111,                   0,                   0,                   0,                   0,                   0,            0.003692,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.032446,            0.016038,             0.00996,                   0,                   0,                   0,                   0,                   0,            0.003692,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.041205,            0.019084,             0.01487,                   0,                   0,                   0,                   0,                   0,           0.0037541,                   0,            0.007228,            0.007228,            0.007228
